country_code,country_name,country_border_code,country_border_name
AD,Andorra,FR,France
AD,Andorra,ES,Spain
AL,Albania,GR,Greece
AL,Albania,ME,Montenegro
AL,Albania,MK,North Macedonia
AL,Albania,RS,Serbia
AM,Armenia,AZ,Azerbaijan
AM,Armenia,GE,Georgia
AT,Austria,CZ,Czechia
AT,Austria,DE,Germany
AT,Austria,HU,Hungary
AT,Austria,IT,Italy
AT,Austria,LI,Liechtenstein
AT,Austria,SK,Slovakia
AT,Austria,SI,Slovenia
AT,Austria,CH,Switzerland
AZ,Azerbaijan,AM,Armenia
AZ,Azerbaijan,GE,Georgia
AZ,Azerbaijan,RU,Russian Federation
BA,Bosnia and Herzegovina,HR,Croatia
BA,Bosnia and Herzegovina,ME,Montenegro
BA,Bosnia and Herzegovina,RS,Serbia
BE,Belgium,FR,France
BE,Belgium,DE,Germany
BE,Belgium,LU,Luxembourg
BE,Belgium,NL,Netherlands
BG,Bulgaria,GR,Greece
BG,Bulgaria,MK,North Macedonia
BG,Bulgaria,RO,Romania
BG,Bulgaria,RS,Serbia
BY,Belarus,LV,Latvia
BY,Belarus,LT,Lithuania
BY,Belarus,PL,Poland
BY,Belarus,RU,Russian Federation
BY,Belarus,UA,Ukraine
CH,Switzerland,AT,Austria
CH,Switzerland,FR,France
CH,Switzerland,DE,Germany
CH,Switzerland,IT,Italy
CH,Switzerland,LI,Liechtenstein
CZ,Czechia,AT,Austria
CZ,Czechia,DE,Germany
CZ,Czechia,PL,Poland
CZ,Czechia,SK,Slovakia
DE,Germany,AT,Austria
DE,Germany,BE,Belgium
DE,Germany,CZ,Czechia
DE,Germany,DK,Denmark
DE,Germany,FR,France
DE,Germany,LU,Luxembourg
DE,Germany,NL,Netherlands
DE,Germany,PL,Poland
DE,Germany,CH,Switzerland
DK,Denmark,DE,Germany
EE,Estonia,LV,Latvia
EE,Estonia,RU,Russian Federation
ES,Spain,AD,Andorra
ES,Spain,FR,France
ES,Spain,GI,Gibraltar
ES,Spain,PT,Portugal
FI,Finland,NO,Norway
FI,Finland,RU,Russian Federation
FI,Finland,SE,Sweden
FR,France,AD,Andorra
FR,France,BE,Belgium
FR,France,DE,Germany
FR,France,IT,Italy
FR,France,LU,Luxembourg
FR,France,MC,Monaco
FR,France,ES,Spain
FR,France,CH,Switzerland
GB,United Kingdom of Great Britain and Northern Ireland,IE,Ireland
GE,Georgia,AM,Armenia
GE,Georgia,AZ,Azerbaijan
GE,Georgia,RU,Russian Federation
GI,Gibraltar,ES,Spain
GR,Greece,AL,Albania
